"","year","earnings_county","earnings_nation","transfers_county","tranfsers_nation"
"1","1970",19223.0901039907,22622.8920694749,1357.80301004971,2022.25451026917
"2","1971",19799.92758028,22896.7278711753,1595.12109184437,2281.1441275486
"3","1972",19752.0715277545,24026.5885731187,1691.39867990897,2423.5059686465
"4","1973",21274.6535949988,25097.2748962741,1888.31390083652,2617.70280966437
"5","1974",21042.8275569507,24534.1268294277,2053.48577707578,2778.85949788508
"6","1975",20200.5831271135,24095.7559049219,2549.49643488913,3224.90948178434
"7","1976",21144.6077330816,24873.488912625,2471.31886608552,3284.7344803213
"8","1977",22353.8233120661,25640.8409801007,2516.11616913004,3260.64613898356
"9","1978",23195.5476115802,26822.7634517183,2584.49278116471,3219.78383643641
"10","1979",23608.0625004852,27209.5076411665,2742.44742771923,3275.93001542611
"11","1980",22823.0455704924,26863.5741288702,3308.90953335647,3493.46292772844
"12","1981",22861.3491001894,27282.474524134,3305.01947099545,3609.67944712629
"13","1982",21857.6263238108,27285.3283481128,3530.91828307529,3791.64748693844
"14","1983",22588.1956788488,27684.4804880536,3668.8316840038,3891.33309297399
"15","1984",24061.8337025704,29454.9180978816,3636.68268679111,3818.73165792934
"16","1985",24631.4044098303,30263.4602274678,3676.51558249941,3873.12347989007
"17","1986",25670.5320354993,31089.2644166449,3805.88076991145,3987.31174321955
"18","1987",25810.8694550176,31658.1153860365,3792.47783063848,4005.58566325019
"19","1988",26774.7165025602,32821.1384237482,3867.28161961,4068.78599857639
"20","1989",27733.188465532,33590.351936915,4068.88667894446,4220.87466062597
"21","1990",28109.153127977,33668.9801014758,4354.98533069569,4417.83302976675
"22","1991",27901.5380372392,32892.819950568,4608.61191016012,4771.45241552301
"23","1992",27926.0977473017,33407.5083762095,5032.41648803057,5158.18645330535
"24","1993",27863.8422529585,33479.3786332108,5190.6112767507,5284.58439804887
"25","1994",28956.5836356476,34082.7646329897,5333.85624014896,5355.54437456268
"26","1995",29677.1428392783,34884.8559474338,5209.81485489849,5496.23420092349
"27","1996",29829.8443724619,35884.5452523631,5370.29258399495,5576.05294063661
"28","1997",30331.07313302,37137.3649538861,5399.25778384226,5591.85594166688
"29","1998",32106.4187649834,39341.67450113,5611.33929566756,5613.6925409028
"30","1999",32479.7897082478,40418.7593282272,5897.73222850267,5663.33071182539
"31","2000",33484.8199508247,42271.8812111757,6099.63173364553,5751.5336070975
"32","2001",32552.1285642892,42497.1543066377,6571.85391259256,6118.8881671987
"33","2002",31830.8954579739,41837.7823915919,6847.28871707008,6533.00447166354
"34","2003",31752.910586515,41956.6529140886,6954.18299702952,6697.51741266227
"35","2004",31158.24814759,42804.2998608209,7237.16554667892,6886.70939093686
"36","2005",30260.6744064859,43353.9060248726,7677.48460329398,7045.41459038752
"37","2006",29149.9047441918,44749.9481673377,8110.34190431576,7255.72276112277
"38","2007",28572.5164089147,45571.1148340708,8114.11045671282,7471.62891683909
"39","2008",27960.8473109289,45032.5374188699,9010.40109439867,8133.36583362448
"40","2009",26231.9804425329,42416.1175622615,9968.72126873692,8879.93557949695
"41","2010",25621.3858594515,42629.3025418191,10473.4364268589,9366.75236870302
"42","2011",26717.9233164643,44151.7295528716,10144.8531585906,9177.32149388068
"43","2012",27421.8561535606,45320.088144074,10485.8127059955,8982.39217842093
"44","2013",27568.1717732849,44754.1589855395,10465.5144704915,9039.33164991157
"45","2014",27825.5556483012,46040.9769132083,11090.239842999,9264.48074449808
"46","2015",28607.7466879967,47637.6406839401,11580.0377139315,9680.77958166646
"47","2016",28791.961492912,48013.5307100558,11757.3827504436,9806.53822111282
"48","2017",29237.8373310766,49294.2147335137,12092.7489230122,9891.92814354325
"49","2018",29553.8388959934,50576.7521729994,12351.3647058705,10044.2226260615
"50","2019",30358.6619125931,51874.3260379842,12885.5733378031,10396.9899297104
"51","2020",30691.2495956728,52011.7695860115,15532.4455176248,13590.7646357571
"52","2021",31265.6021864949,54216.4226992019,16733.9224451191,14376.1326160631
"53","2022",31247.7350019191,53928.1909045288,14217.1988110434,11541.5439886944
